sample,radio,dataset,selection,profile_at_acquisition,raw_temperature_c,raw_rh_percent,mcu_temperature_c,filtered_mcu_temperature_c,filtered_mcu_basis,reference_temperature_c,reference_rh_percent,reference_basis,reported_temperature_c,reported_rh_percent,th4_replay_temperature_c,th4_replay_rh_percent,usb_reported,curve_range
pair-A-10,Radio A,paired_warming_series,same_run_holdout,TH1,34.37,32.2,36.75,36.609668,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.84,44.07,25.016451,64.985174,1,
pair-A-11,Radio A,paired_warming_series,fit,TH1,34.47,32,37.25,36.861951,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.92,43.84,,,1,
pair-B-01,Radio B,paired_warming_series,unused_transition,TH3,33.3,35.58,34.75,34.612,firmware_log,25.2,64,series_reference_assumed_constant,24.11,70.22,,,1,0
pair-B-02,Radio B,paired_warming_series,same_run_holdout,TH3,33.58,35.22,35.25,34.863,firmware_log,25.2,64,series_reference_assumed_constant,24.16,69.81,25.119054,63.244506,1,0
pair-B-03,Radio B,paired_warming_series,fit,TH3,33.82,34.74,35.25,35.021,firmware_log,25.2,64,series_reference_assumed_constant,24.27,69.04,,,1,0
pair-B-04,Radio B,paired_warming_series,same_run_holdout,TH3,34.03,34.62,35.5,35.209,firmware_log,25.2,64,series_reference_assumed_constant,24.31,69.02,25.174859,64.080044,1,0
pair-B-05,Radio B,paired_warming_series,fit,TH3,34.24,34.47,35.5,35.326,firmware_log,25.2,64,series_reference_assumed_constant,24.42,68.83,,,1,0
pair-B-06,Radio B,paired_warming_series,same_run_holdout,TH3,34.5,34.23,35.75,35.493,firmware_log,25.2,64,series_reference_assumed_constant,24.53,68.51,25.443734,63.634159,1,0
pair-B-07,Radio B,paired_warming_series,unused_transition,TH3,34.52,34.24,35.75,35.597,firmware_log,25.2,64,series_reference_assumed_constant,24.46,68.67,,,1,0
pair-B-08,Radio B,paired_warming_series,same_run_holdout,TH3,34.56,34.22,36.25,35.854,firmware_log,25.2,64,series_reference_assumed_constant,24.27,68.98,25.248079,64.094311,1,0
pair-B-09,Radio B,paired_warming_series,fit,TH3,34.64,34.06,36.25,36.014,firmware_log,25.2,64,series_reference_assumed_constant,24.21,68.86,,,1,0
pair-B-10,Radio B,paired_warming_series,same_run_holdout,TH3,34.78,33.98,36.5,36.205,firmware_log,25.2,64,series_reference_assumed_constant,24.18,68.93,25.197355,64.134206,1,0
pair-B-11,Radio B,paired_warming_series,fit,TH3,34.83,33.87,36.5,36.324,firmware_log,25.2,64,series_reference_assumed_constant,24.13,68.84,,,1,0
pair-B-12,Radio B,paired_warming_series,same_run_holdout,TH3,34.9,33.82,36.5,36.393,firmware_log,25.2,64,series_reference_assumed_constant,24.14,68.83,25.068544,64.41154,1,0
live-1-A,Radio A,post_install_live,not_used_for_fit,TH4,38.51,28.87,41,40.705,firmware_log,25.4,62,next_sample_after_new_manual_reference,25.33,66.03,,,1,1
live-1-B,Radio B,post_install_live,not_used_for_fit,TH4,36.44,31.74,37.5,37.429,firmware_log,25.4,62,next_sample_after_new_manual_reference,25.24,63.24,,,1,0
live-2-A,Radio A,post_install_live,not_used_for_fit,TH4,38.55,28.79,41,40.843,firmware_log,25.5,62,next_sample_after_new_manual_reference,25.37,65.85,,,1,1
live-2-B,Radio B,post_install_live,not_used_for_fit,TH4,35.9,32.39,37.25,37.175,firmware_log,25.5,62,next_sample_after_new_manual_reference,25.03,63.89,,,1,0
live-3-A-01,Radio A,post_install_live,not_used_for_fit,TH4,39.55,27.47,41.25,40.942,firmware_log,25.4,62,new_manual_reference_assumed_constant_during_capture,26.37,62.48,,,1,1
live-3-A-02,Radio A,post_install_live,not_used_for_fit,TH4,39.54,27.4,41.5,41.162,firmware_log,25.4,62,new_manual_reference_assumed_constant_during_capture,26.36,62.34,,,1,1
live-3-B-01,Radio B,post_install_live,not_used_for_fit,TH4,36.09,31.55,36.5,35.979,firmware_log,25.4,62,new_manual_reference_assumed_constant_during_capture,26.69,58.89,,,1,0
